WEEK,start_date,end_date,SEASON
4,19-Jan-15,25-Jan-15,2014-15
5,26-Jan-15,1-Feb-15,2014-15
6,2-Feb-15,8-Feb-15,2014-15
7,9-Feb-15,15-Feb-15,2014-15
8,16-Feb-15,22-Feb-15,2014-15
9,23-Feb-15,1-Mar-15,2014-15
10,2-Mar-15,8-Mar-15,2014-15
11,9-Mar-15,15-Mar-15,2014-15
12,16-Mar-15,22-Mar-15,2014-15
13,23-Mar-15,29-Mar-15,2014-15
14,30-Mar-15,5-Apr-15,2014-15
15,6-Apr-15,12-Apr-15,2014-15
16,13-Apr-15,19-Apr-15,2014-15
17,20-Apr-15,26-Apr-15,2014-15
18,27-Apr-15,3-May-15,2014-15
19,4-May-15,10-May-15,2014-15
20,11-May-15,17-May-15,2014-15
21,18-May-15,24-May-15,2014-15
22,25-May-15,31-May-15,2014-15
23,1-Jun-15,7-Jun-15,2014-15
24,8-Jun-15,14-Jun-15,2014-15
25,15-Jun-15,21-Jun-15,2014-15
26,22-Jun-15,28-Jun-15,2014-15
27,29-Jun-15,5-Jul-15,2014-15
28,6-Jul-15,12-Jul-15,2014-15
29,13-Jul-15,19-Jul-15,2014-15
30,20-Jul-15,26-Jul-15,2014-15
31,27-Jul-15,2-Aug-15,2014-15
32,3-Aug-15,9-Aug-15,2014-15
33,10-Aug-15,16-Aug-15,2014-15
34,17-Aug-15,23-Aug-15,2014-15
35,24-Aug-15,30-Aug-15,2014-15
36,31-Aug-15,6-Sep-15,2014-15
37,7-Sep-15,13-Sep-15,2014-15
38,14-Sep-15,20-Sep-15,2014-15
39,21-Sep-15,27-Sep-15,2014-15
40,28-Sep-15,4-Oct-15,2014-15
41,5-Oct-15,11-Oct-15,2014-15
42,12-Oct-15,18-Oct-15,2014-15
43,19-Oct-15,25-Oct-15,2014-15
44,26-Oct-15,1-Nov-15,2014-15
45,2-Nov-15,8-Nov-15,2014-15
46,9-Nov-15,15-Nov-15,2014-15
47,16-Nov-15,22-Nov-15,2014-15
48,23-Nov-15,29-Nov-15,2014-15
49,30-Nov-15,6-Dec-15,2014-15
50,7-Dec-15,13-Dec-15,2014-15
51,14-Dec-15,20-Dec-15,2014-15
52,21-Dec-15,27-Dec-15,2014-15
53,28-Dec-15,3-Jan-16,2014-15
1,30-Dec-13,5-Jan-14,2013-14
2,6-Jan-14,12-Jan-14,2013-14
3,13-Jan-14,19-Jan-14,2013-14
4,20-Jan-14,26-Jan-14,2013-14
5,27-Jan-14,2-Feb-14,2013-14
6,3-Feb-14,9-Feb-14,2013-14
7,10-Feb-14,16-Feb-14,2013-14
8,17-Feb-14,23-Feb-14,2013-14
9,24-Feb-14,2-Mar-14,2013-14
10,3-Mar-14,9-Mar-14,2013-14
11,10-Mar-14,16-Mar-14,2013-14
12,17-Mar-14,23-Mar-14,2013-14
13,24-Mar-14,30-Mar-14,2013-14
14,31-Mar-14,6-Apr-14,2013-14
15,7-Apr-14,13-Apr-14,2013-14
16,14-Apr-14,20-Apr-14,2013-14
17,21-Apr-14,27-Apr-14,2013-14
18,28-Apr-14,4-May-14,2013-14
19,5-May-14,11-May-14,2013-14
20,12-May-14,18-May-14,2013-14
