region_type,region,year,week,total_specimens,total_a,total_b,percent_positive,percent_a,percent_b,wk_date
HHS Regions,Region 3,2016,4,1289,17,4,1.62917,1.31885,0.310318,2016-01-24
HHS Regions,Region 4,2016,4,3806,281,96,9.90541,7.38308,2.52233,2016-01-24
HHS Regions,Region 5,2016,4,3642,175,21,5.38166,4.80505,0.576606,2016-01-24
HHS Regions,Region 6,2016,4,3041,76,48,4.07761,2.49918,1.57843,2016-01-24
HHS Regions,Region 7,2016,4,764,18,2,2.6178,2.35602,0.26178,2016-01-24
HHS Regions,Region 8,2016,4,1861,68,68,7.3079,3.65395,3.65395,2016-01-24
HHS Regions,Region 9,2016,4,2192,193,87,12.7737,8.80474,3.96898,2016-01-24
HHS Regions,Region 10,2016,4,900,42,66,12,4.66667,7.33333,2016-01-24
HHS Regions,Region 1,2016,5,1266,102,4,8.37283,8.05687,0.315956,2016-01-31
HHS Regions,Region 2,2016,5,2130,160,21,8.49765,7.51174,0.985915,2016-01-31
HHS Regions,Region 3,2016,5,1255,28,6,2.70916,2.23108,0.478088,2016-01-31
HHS Regions,Region 4,2016,5,4096,448,140,14.3555,10.9375,3.41797,2016-01-31
HHS Regions,Region 5,2016,5,4127,296,42,8.18997,7.17228,1.01769,2016-01-31
HHS Regions,Region 6,2016,5,3124,90,83,5.53777,2.88092,2.65685,2016-01-31
HHS Regions,Region 7,2016,5,876,27,6,3.76712,3.08219,0.684932,2016-01-31
HHS Regions,Region 8,2016,5,2049,121,108,11.1762,5.90532,5.27086,2016-01-31
HHS Regions,Region 9,2016,5,2373,245,103,14.665,10.3245,4.3405,2016-01-31
HHS Regions,Region 10,2016,5,965,55,74,13.3679,5.69948,7.66839,2016-01-31
HHS Regions,Region 1,2016,6,1402,85,28,8.05991,6.06277,1.99715,2016-02-07
HHS Regions,Region 2,2016,6,2432,254,38,12.0066,10.4441,1.5625,2016-02-07
HHS Regions,Region 3,2016,6,1467,46,11,3.88548,3.13565,0.74983,2016-02-07
HHS Regions,Region 4,2016,6,4581,574,152,15.8481,12.53,3.31805,2016-02-07
HHS Regions,Region 5,2016,6,4425,422,50,10.6667,9.53672,1.12994,2016-02-07
HHS Regions,Region 6,2016,6,3538,202,143,9.75127,5.70944,4.04183,2016-02-07
HHS Regions,Region 7,2016,6,1045,40,2,4.01914,3.82775,0.191388,2016-02-07
HHS Regions,Region 8,2016,6,2157,177,127,14.0936,8.20584,5.88781,2016-02-07
HHS Regions,Region 9,2016,6,2788,382,195,20.6958,13.7016,6.99426,2016-02-07
HHS Regions,Region 10,2016,6,1099,83,118,18.2894,7.55232,10.737,2016-02-07
HHS Regions,Region 1,2016,7,1311,161,24,14.1114,12.2807,1.83066,2016-02-14
HHS Regions,Region 2,2016,7,2617,387,43,16.431,14.7879,1.6431,2016-02-14
HHS Regions,Region 3,2016,7,1530,84,37,7.9085,5.4902,2.4183,2016-02-14
HHS Regions,Region 4,2016,7,4794,638,137,16.166,13.3083,2.85774,2016-02-14
HHS Regions,Region 5,2016,7,5142,687,80,14.9164,13.3606,1.55581,2016-02-14
HHS Regions,Region 6,2016,7,3981,354,282,15.9759,8.89224,7.08365,2016-02-14
HHS Regions,Region 7,2016,7,1132,65,10,6.62544,5.74205,0.883392,2016-02-14
HHS Regions,Region 8,2016,7,2580,231,138,14.3023,8.95349,5.34884,2016-02-14
HHS Regions,Region 9,2016,7,2955,436,229,22.5042,14.7547,7.74958,2016-02-14
HHS Regions,Region 10,2016,7,1166,92,112,17.4957,7.89022,9.60549,2016-02-14
