2.5%,10%,30%,50%,97.5%,state,type
5721.9749999999995,5832,5940.7,6013,6273,NJ,85 years and older
52,99,146,177,289,NM,85 years and older
-13,38,91,126,251,NV,85 years and older
4474.975,4607,4737,4822,5123,NY,85 years and older
7262,7342,7423,7478,7680.025,NYC,85 years and older
1066,1193,1317,1401,1692,OH,85 years and older
42,110,177,221,371,OK,85 years and older
-116,-52,22,70,239,OR,85 years and older
2126,2282,2429,2522,2866,PA,85 years and older
337,374,414,440,533.0249999999996,RI,85 years and older
475.975,547,620,669,848,SC,85 years and older
-131,-94,-58,-34,50,SD,85 years and older
-92,-2.099999999999909,87,147,362,TN,85 years and older
1648,1795,1945,2045,2397,TX,85 years and older
-111,-59,-6,29,154,UT,85 years and older
628.975,719.9000000000001,815,878,1107,VA,85 years and older
-33,-1,29,48,119,VT,85 years and older
198.97500000000002,293,384.6999999999998,445,661,WA,85 years and older
-40.02499999999998,53,150,213.5,440.02499999999964,WI,85 years and older
-573,-528,-480,-448,-337,WV,85 years and older
-66,-40,-15,1,60,WY,85 years and older
-2006.0749999999998,-1152.1999999999998,-568,-162,1094.0999999999985,US.agg,Under 25 years
-122,-99,-75,-59,-4,AL,Under 25 years
-69,-47,-27,-14,28,AR,Under 25 years
-33,-4,23,41,103,AZ,Under 25 years
-89,-36,17,53,176,CA,Under 25 years
-2,22,46,62,112,CO,Under 25 years
-11,29,74,103,204,FL,Under 25 years
-254,-221,-189,-168,-95,GA,Under 25 years
-60,-50,-40,-34,-12,IA,Under 25 years
81,110,141,161,229,IL,Under 25 years
-102,-75,-48,-32,25,IN,Under 25 years
-25.024999999999977,-12,0,8,35,KS,Under 25 years
-50.02499999999998,-29,-10,2,44,KY,Under 25 years
-154,-130,-105,-91,-39,LA,Under 25 years
-56.02499999999998,-39,-21,-10,30,MA,Under 25 years
-70,-47,-24,-9,41,MD,Under 25 years
-3.0249999999999773,25,55,74,137,MI,Under 25 years
-107,-87,-66,-53,-7,MN,Under 25 years
-191,-165,-139,-121,-60,MO,Under 25 years
-67,-46,-26,-14,25,MS,Under 25 years
-11,-5,1,5,15,NE,Under 25 years
-28,-7,14,28,75,NJ,Under 25 years
-77,-66,-56,-49,-28,NM,Under 25 years
-38,-23,-9,0,30,NV,Under 25 years
-37,-11,16,33,91,NY,Under 25 years
-1,23,45,59,110,NYC,Under 25 years
-26,7,41,62,138,OH,Under 25 years
-69.02499999999998,-50,-31,-18,26,OK,Under 25 years
-24,-8,7,16,48,OR,Under 25 years
-152,-117,-84,-63,12,PA,Under 25 years
-47,-20,5,22,79,SC,Under 25 years
-151,-121,-90,-70,-1,TN,Under 25 years
-190,-134,-81,-45,80,TX,Under 25 years
-116,-97.09999999999991,-80,-68,-28,UT,Under 25 years
-80,-52,-24,-6,52,VA,Under 25 years
-32,-8,16,30,82,WA,Under 25 years
-70,-46,-23,-8,42,WI,Under 25 years
-21,-17,-13,-11,-4,WV,Under 25 years
