State,Week Ending Date,Predicted (weighted),Unweighted,EstimatedCompletenessfrom2019
Alabama,1/4/20,1076,1076,100.0%
Alabama,1/11/20,1123,1123,100.0%
Alabama,1/18/20,1037,1037,100.0%
Alabama,1/25/20,1057,1050,99.3%
Alabama,2/1/20,1028,1021,99.3%
Alabama,2/8/20,1122,1114,99.3%
Alabama,2/15/20,1096,1088,99.3%
Alabama,2/22/20,1099,1091,99.3%
Alabama,2/29/20,1165,1156,99.2%
Alabama,3/7/20,1059,1051,99.2%
Alabama,3/14/20,1089,1081,99.3%
Alabama,3/21/20,1056,1047,99.1%
Alabama,3/28/20,1067,1057,99.1%
Alabama,4/4/20,1151,1140,99.0%
Alabama,4/11/20,1132,1120,98.9%
Alabama,4/18/20,1141,1127,98.8%
Alabama,4/25/20,1138,1122,98.6%
Alabama,5/2/20,1136,1118,98.4%
Alabama,5/9/20,1164,1142,98.1%
Alabama,5/16/20,1135,1108,97.6%
Alabama,5/23/20,1154,1120,97.1%
Alabama,5/30/20,1091,1049,96.2%
Alabama,6/6/20,1140,1082,94.9%
Alabama,6/13/20,1092,1013,92.8%
Alabama,6/20/20,1013,901,88.9%
Alabama,6/27/20,973,793,81.5%
Alabama,7/4/20,842,566,67.2%
Alaska,1/4/20,89,89,100.0%
Alaska,1/11/20,105,105,100.0%
Alaska,1/18/20,99,99,100.0%
Alaska,1/25/20,100,97,97.0%
Alaska,2/1/20,86,84,97.7%
Alaska,2/8/20,98,95,96.9%
Alaska,2/15/20,90,88,97.8%
Alaska,2/22/20,85,83,97.6%
Alaska,2/29/20,85,83,97.6%
Alaska,3/7/20,80,78,97.5%
Alaska,3/14/20,95,92,96.8%
Alaska,3/21/20,70,68,97.1%
Alaska,3/28/20,88,85,96.6%
Alaska,4/4/20,100,97,97.0%
Alaska,4/11/20,85,82,96.5%
Alaska,4/18/20,83,80,96.4%
Alaska,4/25/20,63,61,96.8%
Alaska,5/2/20,88,84,95.5%
Alaska,5/9/20,89,85,95.5%
Alaska,5/16/20,84,79,94.0%
Alaska,5/23/20,81,75,92.6%
Alaska,5/30/20,92,84,91.3%
Alaska,6/6/20,78,68,87.2%
Alaska,6/13/20,85,70,82.4%
Alaska,6/20/20,76,57,75.0%
Alaska,6/27/20,65,,0.0%
Alaska,7/4/20,66,,0.0%
Arizona,1/4/20,1298,1298,100.0%
Arizona,1/11/20,1389,1389,100.0%
Arizona,1/18/20,1314,1313,99.9%
Arizona,1/25/20,1280,1274,99.5%
Arizona,2/1/20,1269,1263,99.5%
Arizona,2/8/20,1267,1261,99.5%
Arizona,2/15/20,1316,1309,99.5%
Arizona,2/22/20,1344,1337,99.5%
Arizona,2/29/20,1357,1350,99.5%
Arizona,3/7/20,1382,1375,99.5%
Arizona,3/14/20,1353,1346,99.5%
Arizona,3/21/20,1292,1285,99.5%
Arizona,3/28/20,1327,1320,99.5%
Arizona,4/4/20,1361,1354,99.5%
Arizona,4/11/20,1407,1399,99.4%
Arizona,4/18/20,1317,1309,99.4%
Arizona,4/25/20,1384,1376,99.4%
Arizona,5/2/20,1401,1391,99.3%
Arizona,5/9/20,1437,1422,99.0%
Arizona,5/16/20,1312,1292,98.5%
Arizona,5/23/20,1292,1267,98.1%
Arizona,5/30/20,1313,1286,97.9%
Arizona,6/6/20,1411,1378,97.7%
Arizona,6/13/20,1453,1411,97.1%
Arizona,6/20/20,1486,1413,95.1%
Arizona,6/27/20,1379,1226,88.9%
Arizona,7/4/20,1325,1006,75.9%
Arkansas,1/4/20,673,673,100.0%
Arkansas,1/11/20,685,685,100.0%
Arkansas,1/18/20,657,657,100.0%
Arkansas,1/25/20,622,617,99.2%
Arkansas,2/1/20,684,678,99.1%
Arkansas,2/8/20,678,672,99.1%
Arkansas,2/15/20,694,688,99.1%
Arkansas,2/22/20,701,695,99.1%
Arkansas,2/29/20,662,656,99.1%
Arkansas,3/7/20,702,696,99.1%
Arkansas,3/14/20,633,627,99.1%
Arkansas,3/21/20,640,634,99.1%
Arkansas,3/28/20,645,639,99.1%
Arkansas,4/4/20,612,606,99.0%
Arkansas,4/11/20,639,633,99.1%
Arkansas,4/18/20,640,634,99.1%
Arkansas,4/25/20,616,610,99.0%
Arkansas,5/2/20,631,624,98.9%
Arkansas,5/9/20,666,658,98.8%
Arkansas,5/16/20,584,576,98.6%
Arkansas,5/23/20,645,634,98.3%
Arkansas,5/30/20,614,601,97.9%
Arkansas,6/6/20,653,634,97.1%
Arkansas,6/13/20,653,626,95.9%
Arkansas,6/20/20,686,641,93.4%
Arkansas,6/27/20,573,504,88.0%
Arkansas,7/4/20,445,339,76.2%
California,1/4/20,5886,5884,100.0%
California,1/11/20,5866,5865,100.0%
California,1/18/20,5825,5823,100.0%
California,1/25/20,5846,5825,99.6%
California,2/1/20,5698,5678,99.6%
California,2/8/20,5929,5907,99.6%
California,2/15/20,5598,5578,99.6%
California,2/22/20,5815,5794,99.6%
California,2/29/20,5695,5673,99.6%
California,3/7/20,5744,5721,99.6%
California,3/14/20,5475,5453,99.6%
California,3/21/20,5689,5666,99.6%
California,3/28/20,5704,5680,99.6%
California,4/4/20,5993,5966,99.5%
California,4/11/20,6059,6031,99.5%
California,4/18/20,6147,6116,99.5%
California,4/25/20,5940,5909,99.5%
California,5/2/20,5753,5720,99.4%
California,5/9/20,5676,5638,99.3%
California,5/16/20,5697,5649,99.2%
California,5/23/20,5540,5482,99.0%
California,5/30/20,5591,5520,98.7%
California,6/6/20,5472,5388,98.5%
California,6/13/20,5494,5380,97.9%
California,6/20/20,5208,5031,96.6%
California,6/27/20,4835,4334,89.6%
California,7/4/20,4064,3308,81.4%
Colorado,1/4/20,854,854,100.0%
Colorado,1/11/20,873,873,100.0%
Colorado,1/18/20,848,848,100.0%
Colorado,1/25/20,857,852,99.4%
Colorado,2/1/20,795,791,99.5%
Colorado,2/8/20,849,844,99.4%
Colorado,2/15/20,811,807,99.5%
Colorado,2/22/20,885,880,99.4%
Colorado,2/29/20,847,842,99.4%
Colorado,3/7/20,827,820,99.2%
Colorado,3/14/20,826,818,99.0%
Colorado,3/21/20,897,889,99.1%
Colorado,3/28/20,865,857,99.1%
Colorado,4/4/20,976,967,99.1%
Colorado,4/11/20,1106,1095,99.0%
Colorado,4/18/20,1110,1099,99.0%
Colorado,4/25/20,1076,1065,99.0%
Colorado,5/2/20,1005,994,98.9%
Colorado,5/9/20,913,903,98.9%
Colorado,5/16/20,892,882,98.9%
Colorado,5/23/20,851,841,98.8%
Colorado,5/30/20,836,825,98.7%
Colorado,6/6/20,819,806,98.4%
Colorado,6/13/20,811,793,97.8%
Colorado,6/20/20,846,812,96.0%
Colorado,6/27/20,806,731,90.7%
Colorado,7/4/20,415,,0.0%
Connecticut,1/4/20,632,632,100.0%
Connecticut,1/11/20,629,629,100.0%
Connecticut,1/18/20,639,637,99.7%
Connecticut,1/25/20,654,652,99.7%
Connecticut,2/1/20,683,681,99.7%
Connecticut,2/8/20,644,642,99.7%
Connecticut,2/15/20,631,627,99.4%
Connecticut,2/22/20,649,643,99.1%
Connecticut,2/29/20,643,630,98.0%
Connecticut,3/7/20,643,619,96.3%
Connecticut,3/14/20,650,618,95.1%
Connecticut,3/21/20,716,650,90.8%
Connecticut,3/28/20,857,729,85.1%
Connecticut,4/4/20,982,821,83.6%
Connecticut,4/11/20,1373,1148,83.6%
Connecticut,4/18/20,1557,1302,83.6%
Connecticut,4/25/20,1460,1221,83.6%
Connecticut,5/2/20,1133,947,83.6%
Connecticut,5/9/20,894,747,83.6%
Connecticut,5/16/20,798,667,83.6%
Connecticut,5/23/20,610,510,83.6%
Connecticut,5/30/20,519,418,80.5%
Connecticut,6/6/20,533,463,86.9%
Connecticut,6/13/20,448,367,81.9%
Connecticut,6/20/20,,,#DIV/0!
Connecticut,6/27/20,,,#DIV/0!
Connecticut,7/4/20,,,#DIV/0!
Delaware,1/4/20,197,197,100.0%
Delaware,1/11/20,192,192,100.0%
Delaware,1/18/20,189,189,100.0%
Delaware,1/25/20,194,189,97.4%
Delaware,2/1/20,186,181,97.3%
Delaware,2/8/20,196,190,96.9%
Delaware,2/15/20,208,202,97.1%
Delaware,2/22/20,197,192,97.5%
Delaware,2/29/20,168,163,97.0%
Delaware,3/7/20,206,200,97.1%
Delaware,3/14/20,193,188,97.4%
Delaware,3/21/20,228,221,96.9%
Delaware,3/28/20,194,188,96.9%
Delaware,4/4/20,219,211,96.3%
Delaware,4/11/20,225,216,96.0%
Delaware,4/18/20,237,226,95.4%
Delaware,4/25/20,298,282,94.6%
Delaware,5/2/20,265,247,93.2%
Delaware,5/9/20,283,258,91.2%
Delaware,5/16/20,291,262,90.0%
Delaware,5/23/20,228,203,89.0%
Delaware,5/30/20,231,203,87.9%
Delaware,6/6/20,180,156,86.7%
Delaware,6/13/20,188,160,85.1%
Delaware,6/20/20,149,122,81.9%
Delaware,6/27/20,152,114,75.0%
Delaware,7/4/20,132,,0.0%
District of Columbia,1/4/20,131,131,100.0%
District of Columbia,1/11/20,128,128,100.0%
District of Columbia,1/18/20,139,139,100.0%
District of Columbia,1/25/20,133,131,98.5%
District of Columbia,2/1/20,146,143,97.9%
District of Columbia,2/8/20,134,131,97.8%
District of Columbia,2/15/20,124,122,98.4%
District of Columbia,2/22/20,105,103,98.1%
District of Columbia,2/29/20,137,134,97.8%
District of Columbia,3/7/20,120,118,98.3%
District of Columbia,3/14/20,116,114,98.3%
District of Columbia,3/21/20,131,128,97.7%
District of Columbia,3/28/20,133,130,97.7%
District of Columbia,4/4/20,160,156,97.5%
District of Columbia,4/11/20,194,189,97.4%
District of Columbia,4/18/20,201,196,97.5%
District of Columbia,4/25/20,241,234,97.1%
District of Columbia,5/2/20,216,209,96.8%
District of Columbia,5/9/20,208,201,96.6%
District of Columbia,5/16/20,175,168,96.0%
District of Columbia,5/23/20,180,172,95.6%
District of Columbia,5/30/20,172,163,94.8%
District of Columbia,6/6/20,141,132,93.6%
District of Columbia,6/13/20,137,124,90.5%
District of Columbia,6/20/20,123,107,87.0%
District of Columbia,6/27/20,110,87,79.1%
District of Columbia,7/4/20,93,58,62.4%
Florida,1/4/20,4341,4340,100.0%
Florida,1/11/20,4407,4407,100.0%
Florida,1/18/20,4385,4381,99.9%
Florida,1/25/20,4404,4388,99.6%
Florida,2/1/20,4435,4419,99.6%
Florida,2/8/20,4396,4381,99.7%
Florida,2/15/20,4374,4358,99.6%
Florida,2/22/20,4429,4413,99.6%
Florida,2/29/20,4411,4396,99.7%
Florida,3/7/20,4534,4518,99.6%
Florida,3/14/20,4451,4435,99.6%
Florida,3/21/20,4378,4362,99.6%
Florida,3/28/20,4476,4460,99.6%
Florida,4/4/20,4512,4495,99.6%
Florida,4/11/20,4560,4543,99.6%
Florida,4/18/20,4431,4412,99.6%
Florida,4/25/20,4574,4551,99.5%
Florida,5/2/20,4374,4346,99.4%
Florida,5/9/20,4433,4404,99.3%
Florida,5/16/20,4306,4276,99.3%
Florida,5/23/20,4388,4356,99.3%
Florida,5/30/20,4233,4199,99.2%
Florida,6/6/20,4284,4239,98.9%
Florida,6/13/20,4253,4189,98.5%
Florida,6/20/20,4319,4211,97.5%
Florida,6/27/20,4003,3559,88.9%
Florida,7/4/20,3441,2885,83.8%
Georgia,1/4/20,1797,1797,100.0%
Georgia,1/11/20,1796,1795,99.9%
Georgia,1/18/20,1730,1730,100.0%
Georgia,1/25/20,1831,1817,99.2%
Georgia,2/1/20,1799,1784,99.2%
Georgia,2/8/20,1776,1761,99.2%
Georgia,2/15/20,1763,1747,99.1%
Georgia,2/22/20,1749,1732,99.0%
Georgia,2/29/20,1856,1837,99.0%
Georgia,3/7/20,1752,1733,98.9%
Georgia,3/14/20,1779,1758,98.8%
Georgia,3/21/20,1771,1747,98.6%
Georgia,3/28/20,1872,1843,98.5%
Georgia,4/4/20,2028,1993,98.3%
Georgia,4/11/20,2029,1989,98.0%
Georgia,4/18/20,2019,1972,97.7%
Georgia,4/25/20,2049,1992,97.2%
Georgia,5/2/20,1969,1903,96.6%
Georgia,5/9/20,1980,1902,96.1%
Georgia,5/16/20,1947,1856,95.3%
Georgia,5/23/20,1877,1772,94.4%
Georgia,5/30/20,1755,1634,93.1%
Georgia,6/6/20,1725,1575,91.3%
Georgia,6/13/20,1658,1470,88.7%
Georgia,6/20/20,1595,1341,84.1%
Georgia,6/27/20,1450,1088,75.0%
Georgia,7/4/20,1210,,0.0%
Hawaii,1/4/20,240,240,100.0%
Hawaii,1/11/20,241,241,100.0%
Hawaii,1/18/20,214,214,100.0%
Hawaii,1/25/20,244,241,98.8%
Hawaii,2/1/20,245,242,98.8%
Hawaii,2/8/20,237,234,98.7%
Hawaii,2/15/20,284,280,98.6%
Hawaii,2/22/20,251,247,98.4%
Hawaii,2/29/20,240,237,98.8%
Hawaii,3/7/20,242,239,98.8%
Hawaii,3/14/20,247,243,98.4%
Hawaii,3/21/20,215,212,98.6%
Hawaii,3/28/20,237,234,98.7%
Hawaii,4/4/20,238,234,98.3%
Hawaii,4/11/20,225,221,98.2%
Hawaii,4/18/20,214,211,98.6%
Hawaii,4/25/20,203,200,98.5%
Hawaii,5/2/20,225,221,98.2%
Hawaii,5/9/20,212,208,98.1%
Hawaii,5/16/20,233,229,98.3%
Hawaii,5/23/20,212,208,98.1%
Hawaii,5/30/20,204,200,98.0%
Hawaii,6/6/20,220,215,97.7%
Hawaii,6/13/20,203,198,97.5%
Hawaii,6/20/20,240,232,96.7%
Hawaii,6/27/20,213,193,90.6%
Hawaii,7/4/20,181,152,84.0%
Idaho,1/4/20,278,278,100.0%
Idaho,1/11/20,292,292,100.0%
Idaho,1/18/20,293,293,100.0%
Idaho,1/25/20,278,275,98.9%
Idaho,2/1/20,252,249,98.8%
Idaho,2/8/20,295,292,99.0%
Idaho,2/15/20,282,279,98.9%
Idaho,2/22/20,321,318,99.1%
Idaho,2/29/20,293,290,99.0%
Idaho,3/7/20,281,278,98.9%
Idaho,3/14/20,286,283,99.0%
Idaho,3/21/20,311,308,99.0%
Idaho,3/28/20,335,332,99.1%
Idaho,4/4/20,274,271,98.9%
Idaho,4/11/20,308,305,99.0%
Idaho,4/18/20,287,284,99.0%
Idaho,4/25/20,265,262,98.9%
Idaho,5/2/20,254,251,98.8%
Idaho,5/9/20,307,304,99.0%
Idaho,5/16/20,272,269,98.9%
Idaho,5/23/20,265,261,98.5%
Idaho,5/30/20,282,277,98.2%
Idaho,6/6/20,296,290,98.0%
Idaho,6/13/20,287,281,97.9%
Idaho,6/20/20,283,275,97.2%
Idaho,6/27/20,273,232,85.0%
Idaho,7/4/20,212,,0.0%
Illinois,1/4/20,2190,2190,100.0%
Illinois,1/11/20,2250,2250,100.0%
Illinois,1/18/20,2231,2231,100.0%
Illinois,1/25/20,2207,2200,99.7%
Illinois,2/1/20,2144,2138,99.7%
Illinois,2/8/20,2238,2232,99.7%
Illinois,2/15/20,2226,2219,99.7%
Illinois,2/22/20,2212,2205,99.7%
Illinois,2/29/20,2216,2209,99.7%
Illinois,3/7/20,2259,2252,99.7%
Illinois,3/14/20,2199,2193,99.7%
Illinois,3/21/20,2290,2283,99.7%
Illinois,3/28/20,2305,2298,99.7%
Illinois,4/4/20,2624,2616,99.7%
Illinois,4/11/20,2879,2869,99.7%
Illinois,4/18/20,2914,2904,99.7%
Illinois,4/25/20,3023,2999,99.2%
Illinois,5/2/20,2965,2938,99.1%
Illinois,5/9/20,2977,2949,99.1%
Illinois,5/16/20,2863,2836,99.1%
Illinois,5/23/20,2615,2589,99.0%
Illinois,5/30/20,2525,2499,99.0%
Illinois,6/6/20,2496,2468,98.9%
Illinois,6/13/20,2236,2201,98.4%
Illinois,6/20/20,2225,2158,97.0%
Illinois,6/27/20,2009,1868,93.0%
Illinois,7/4/20,1894,1593,84.1%
Indiana,1/4/20,1467,1467,100.0%
Indiana,1/11/20,1386,1386,100.0%
Indiana,1/18/20,1384,1384,100.0%
Indiana,1/25/20,1428,1416,99.2%
Indiana,2/1/20,1381,1369,99.1%
Indiana,2/8/20,1372,1360,99.1%
Indiana,2/15/20,1430,1418,99.2%
Indiana,2/22/20,1412,1400,99.2%
Indiana,2/29/20,1452,1439,99.1%
Indiana,3/7/20,1370,1358,99.1%
Indiana,3/14/20,1406,1393,99.1%
Indiana,3/21/20,1328,1315,99.0%
Indiana,3/28/20,1488,1473,99.0%
Indiana,4/4/20,1587,1570,98.9%
Indiana,4/11/20,1635,1617,98.9%
Indiana,4/18/20,1515,1497,98.8%
Indiana,4/25/20,1600,1580,98.8%
Indiana,5/2/20,1528,1507,98.6%
Indiana,5/9/20,1584,1558,98.4%
Indiana,5/16/20,1564,1534,98.1%
Indiana,5/23/20,1465,1430,97.6%
Indiana,5/30/20,1365,1323,96.9%
Indiana,6/6/20,1368,1311,95.8%
Indiana,6/13/20,1357,1277,94.1%
Indiana,6/20/20,1266,1149,90.8%
Indiana,6/27/20,1220,1010,82.8%
Indiana,7/4/20,1048,711,67.8%
Iowa,1/4/20,663,663,100.0%
Iowa,1/11/20,647,647,100.0%
Iowa,1/18/20,618,618,100.0%
Iowa,1/25/20,646,640,99.1%
Iowa,2/1/20,621,615,99.0%
Iowa,2/8/20,644,637,98.9%
Iowa,2/15/20,606,600,99.0%
Iowa,2/22/20,649,642,98.9%
Iowa,2/29/20,649,642,98.9%
Iowa,3/7/20,630,623,98.9%
Iowa,3/14/20,639,632,98.9%
Iowa,3/21/20,599,592,98.8%
Iowa,3/28/20,599,592,98.8%
Iowa,4/4/20,611,604,98.9%
Iowa,4/11/20,602,595,98.8%
Iowa,4/18/20,639,631,98.7%
Iowa,4/25/20,590,582,98.6%
Iowa,5/2/20,677,667,98.5%
Iowa,5/9/20,700,690,98.6%
Iowa,5/16/20,674,663,98.4%
Iowa,5/23/20,619,607,98.1%
Iowa,5/30/20,619,605,97.7%
Iowa,6/6/20,591,574,97.1%
Iowa,6/13/20,578,554,95.8%
Iowa,6/20/20,515,482,93.6%
Iowa,6/27/20,479,420,87.7%
Iowa,7/4/20,449,341,75.9%
Kansas,1/4/20,590,590,100.0%
Kansas,1/11/20,560,560,100.0%
Kansas,1/18/20,575,575,100.0%
Kansas,1/25/20,578,572,99.0%
Kansas,2/1/20,552,547,99.1%
Kansas,2/8/20,508,503,99.0%
Kansas,2/15/20,579,574,99.1%
Kansas,2/22/20,564,559,99.1%
Kansas,2/29/20,551,546,99.1%
Kansas,3/7/20,579,573,99.0%
Kansas,3/14/20,527,522,99.1%
Kansas,3/21/20,519,514,99.0%
Kansas,3/28/20,522,517,99.0%
Kansas,4/4/20,551,545,98.9%
Kansas,4/11/20,530,524,98.9%
Kansas,4/18/20,549,543,98.9%
Kansas,4/25/20,544,538,98.9%
Kansas,5/2/20,524,518,98.9%
Kansas,5/9/20,507,501,98.8%
Kansas,5/16/20,534,527,98.7%
Kansas,5/23/20,525,517,98.5%
Kansas,5/30/20,511,502,98.2%
Kansas,6/6/20,497,487,98.0%
Kansas,6/13/20,493,480,97.4%
Kansas,6/20/20,471,452,96.0%
Kansas,6/27/20,460,424,92.2%
Kansas,7/4/20,432,356,82.4%
Kentucky,1/4/20,1090,1090,100.0%
Kentucky,1/11/20,1055,1053,99.8%
Kentucky,1/18/20,1039,1039,100.0%
Kentucky,1/25/20,947,940,99.3%
Kentucky,2/1/20,982,974,99.2%
Kentucky,2/8/20,960,953,99.3%
Kentucky,2/15/20,959,951,99.2%
Kentucky,2/22/20,997,989,99.2%
Kentucky,2/29/20,1024,1015,99.1%
Kentucky,3/7/20,1007,998,99.1%
Kentucky,3/14/20,1018,1009,99.1%
Kentucky,3/21/20,950,941,99.1%
Kentucky,3/28/20,940,930,98.9%
Kentucky,4/4/20,1044,1032,98.9%
Kentucky,4/11/20,1024,1011,98.7%
Kentucky,4/18/20,963,949,98.5%
Kentucky,4/25/20,974,957,98.3%
Kentucky,5/2/20,985,964,97.9%
Kentucky,5/9/20,990,963,97.3%
Kentucky,5/16/20,979,943,96.3%
Kentucky,5/23/20,957,907,94.8%
Kentucky,5/30/20,980,912,93.1%
Kentucky,6/6/20,877,793,90.4%
Kentucky,6/13/20,959,828,86.3%
Kentucky,6/20/20,918,725,79.0%
Kentucky,6/27/20,810,545,67.3%
Kentucky,7/4/20,686,,0.0%
Louisiana,1/4/20,925,925,100.0%
Louisiana,1/11/20,960,960,100.0%
Louisiana,1/18/20,953,953,100.0%
Louisiana,1/25/20,971,961,99.0%
Louisiana,2/1/20,982,972,99.0%
Louisiana,2/8/20,960,950,99.0%
Louisiana,2/15/20,950,940,98.9%
Louisiana,2/22/20,953,943,99.0%
Louisiana,2/29/20,998,987,98.9%
Louisiana,3/7/20,963,952,98.9%
Louisiana,3/14/20,992,980,98.8%
Louisiana,3/21/20,950,937,98.6%
Louisiana,3/28/20,1234,1215,98.5%
Louisiana,4/4/20,1388,1364,98.3%
Louisiana,4/11/20,1533,1503,98.0%
Louisiana,4/18/20,1363,1333,97.8%
Louisiana,4/25/20,1246,1213,97.4%
Louisiana,5/2/20,1174,1135,96.7%
Louisiana,5/9/20,1140,1092,95.8%
Louisiana,5/16/20,1104,1043,94.5%
Louisiana,5/23/20,1039,964,92.8%
Louisiana,5/30/20,1048,948,90.5%
Louisiana,6/6/20,1003,873,87.0%
Louisiana,6/13/20,931,771,82.8%
Louisiana,6/20/20,956,729,76.3%
Louisiana,6/27/20,913,594,65.1%
Louisiana,7/4/20,779,,0.0%
Maine,1/4/20,320,320,100.0%
Maine,1/11/20,318,318,100.0%
Maine,1/18/20,295,295,100.0%
Maine,1/25/20,310,307,99.0%
Maine,2/1/20,291,288,99.0%
Maine,2/8/20,319,316,99.1%
Maine,2/15/20,333,329,98.8%
Maine,2/22/20,302,299,99.0%
Maine,2/29/20,295,292,99.0%
Maine,3/7/20,317,313,98.7%
Maine,3/14/20,304,301,99.0%
Maine,3/21/20,280,277,98.9%
Maine,3/28/20,282,279,98.9%
Maine,4/4/20,303,300,99.0%
Maine,4/11/20,308,304,98.7%
Maine,4/18/20,314,310,98.7%
Maine,4/25/20,289,285,98.6%
Maine,5/2/20,281,277,98.6%
Maine,5/9/20,297,293,98.7%
Maine,5/16/20,260,256,98.5%
Maine,5/23/20,270,266,98.5%
Maine,5/30/20,306,302,98.7%
Maine,6/6/20,259,255,98.5%
Maine,6/13/20,259,254,98.1%
Maine,6/20/20,276,270,97.8%
Maine,6/27/20,289,276,95.5%
Maine,7/4/20,252,222,88.1%
Maryland,1/4/20,1050,1049,99.9%
Maryland,1/11/20,1035,1035,100.0%
Maryland,1/18/20,988,988,100.0%
Maryland,1/25/20,1009,1002,99.3%
Maryland,2/1/20,1041,1034,99.3%
Maryland,2/8/20,1010,1003,99.3%
Maryland,2/15/20,1025,1018,99.3%
Maryland,2/22/20,977,971,99.4%
Maryland,2/29/20,1085,1078,99.4%
Maryland,3/7/20,1054,1047,99.3%
Maryland,3/14/20,1013,1006,99.3%
Maryland,3/21/20,1067,1060,99.3%
Maryland,3/28/20,1099,1091,99.3%
Maryland,4/4/20,1196,1187,99.2%
Maryland,4/11/20,1358,1348,99.3%
Maryland,4/18/20,1362,1352,99.3%
Maryland,4/25/20,1534,1522,99.2%
Maryland,5/2/20,1526,1514,99.2%
Maryland,5/9/20,1451,1438,99.1%
Maryland,5/16/20,1428,1415,99.1%
Maryland,5/23/20,1323,1309,98.9%
Maryland,5/30/20,1253,1238,98.8%
Maryland,6/6/20,1164,1146,98.5%
Maryland,6/13/20,1124,1100,97.9%
Maryland,6/20/20,1022,980,95.9%
Maryland,6/27/20,908,821,90.4%
Maryland,7/4/20,798,641,80.3%
Massachusetts,1/4/20,1238,1238,100.0%
Massachusetts,1/11/20,1266,1266,100.0%
Massachusetts,1/18/20,1188,1188,100.0%
Massachusetts,1/25/20,1310,1301,99.3%
Massachusetts,2/1/20,1209,1200,99.3%
Massachusetts,2/8/20,1240,1231,99.3%
Massachusetts,2/15/20,1258,1249,99.3%
Massachusetts,2/22/20,1173,1165,99.3%
Massachusetts,2/29/20,1286,1277,99.3%
Massachusetts,3/7/20,1222,1213,99.3%
Massachusetts,3/14/20,1318,1309,99.3%
Massachusetts,3/21/20,1177,1168,99.2%
Massachusetts,3/28/20,1295,1286,99.3%
Massachusetts,4/4/20,1561,1549,99.2%
Massachusetts,4/11/20,2050,2034,99.2%
Massachusetts,4/18/20,2500,2480,99.2%
Massachusetts,4/25/20,2545,2524,99.2%
Massachusetts,5/2/20,2317,2297,99.1%
Massachusetts,5/9/20,2074,2055,99.1%
Massachusetts,5/16/20,1895,1871,98.7%
Massachusetts,5/23/20,1591,1568,98.6%
Massachusetts,5/30/20,1362,1340,98.4%
Massachusetts,6/6/20,1239,1217,98.2%
Massachusetts,6/13/20,1140,1117,98.0%
Massachusetts,6/20/20,1107,1079,97.5%
Massachusetts,6/27/20,1005,961,95.6%
Massachusetts,7/4/20,819,726,88.6%
Michigan,1/4/20,2013,2013,100.0%
Michigan,1/11/20,2064,2064,100.0%
Michigan,1/18/20,1936,1936,100.0%
Michigan,1/25/20,2024,2004,99.0%
Michigan,2/1/20,2020,2000,99.0%
Michigan,2/8/20,1956,1936,99.0%
Michigan,2/15/20,2031,2009,98.9%
Michigan,2/22/20,2078,2053,98.8%
Michigan,2/29/20,1993,1966,98.6%
Michigan,3/7/20,2008,1978,98.5%
Michigan,3/14/20,1979,1946,98.3%
Michigan,3/21/20,2061,2022,98.1%
Michigan,3/28/20,2462,2406,97.7%
Michigan,4/4/20,3167,3086,97.4%
Michigan,4/11/20,3447,3345,97.0%
Michigan,4/18/20,3225,3117,96.7%
Michigan,4/25/20,2860,2746,96.0%
Michigan,5/2/20,2656,2534,95.4%
Michigan,5/9/20,2197,2073,94.4%
Michigan,5/16/20,2078,1940,93.4%
Michigan,5/23/20,2158,1991,92.3%
Michigan,5/30/20,2106,1921,91.2%
Michigan,6/6/20,2156,1950,90.4%
Michigan,6/13/20,2012,1801,89.5%
Michigan,6/20/20,2019,1783,88.3%
Michigan,6/27/20,1976,1692,85.6%
Michigan,7/4/20,1724,1348,78.2%
Minnesota,1/4/20,1009,1009,100.0%
Minnesota,1/11/20,950,950,100.0%
Minnesota,1/18/20,945,944,99.9%
Minnesota,1/25/20,962,956,99.4%
Minnesota,2/1/20,948,942,99.4%
Minnesota,2/8/20,924,918,99.4%
Minnesota,2/15/20,945,939,99.4%
Minnesota,2/22/20,918,912,99.3%
Minnesota,2/29/20,937,931,99.4%
Minnesota,3/7/20,951,944,99.3%
Minnesota,3/14/20,886,880,99.3%
Minnesota,3/21/20,898,892,99.3%
Minnesota,3/28/20,910,904,99.3%
Minnesota,4/4/20,925,919,99.4%
Minnesota,4/11/20,942,935,99.3%
Minnesota,4/18/20,948,941,99.3%
Minnesota,4/25/20,1013,1005,99.2%
Minnesota,5/2/20,1047,1037,99.0%
Minnesota,5/9/20,1052,1041,99.0%
Minnesota,5/16/20,1000,987,98.7%
Minnesota,5/23/20,1003,986,98.3%
Minnesota,5/30/20,1003,981,97.8%
Minnesota,6/6/20,1016,987,97.1%
Minnesota,6/13/20,924,887,96.0%
Minnesota,6/20/20,891,838,94.1%
Minnesota,6/27/20,724,654,90.3%
Minnesota,7/4/20,491,,0.0%
Mississippi,1/4/20,673,673,100.0%
Mississippi,1/11/20,647,647,100.0%
Mississippi,1/18/20,623,623,100.0%
Mississippi,1/25/20,611,609,99.7%
Mississippi,2/1/20,604,602,99.7%
Mississippi,2/8/20,705,702,99.6%
Mississippi,2/15/20,646,643,99.5%
Mississippi,2/22/20,626,623,99.5%
Mississippi,2/29/20,667,664,99.6%
Mississippi,3/7/20,660,657,99.5%
Mississippi,3/14/20,621,618,99.5%
Mississippi,3/21/20,622,619,99.5%
Mississippi,3/28/20,697,693,99.4%
